"pants_num","pants_name","pants_brand","pants_hashtag","pants_starrating","pants_imgUrl","pants_rank","pants_hearts_count"
"1675531","와이드 히든 밴딩 슬랙스 [라이트 베이지]","MUSINSA STANDARD","#정장바지#퍼펙트슬랙스#트라우저#셋업#와이드팬츠#루즈핏#와이드핏","4.8","https://image.msscdn.net/images/goods_img/20201103/1675531/1675531_3_500.jpg","8679","4718"
"2060719","시티보이 빅포켓 와이드 밴딩 카고팬츠 카키","GLW","#치노팬츠#카고팬츠#시티보이룩#와이드팬츠#하이웨이스트#힙합#오버핏","4.8","https://image.msscdn.net/images/goods_img/20210812/2060719/2060719_4_500.jpg","8679","5627"
"2081268","[2장 세트] 에센셜 세미 와이드 스웨트팬츠 (3color)","PIANER","#와이드팬츠#세미와이드#남녀공용#트레이닝팬츠#트레이닝바지#스웨트팬츠#스웻팬츠","4.8","https://image.msscdn.net/images/goods_img/20210823/2081268/2081268_1_500.jpg","8679","7337"
"1844581","[패키지] 원턱 와이드 트레이닝 팬츠","BRENSON","#스웨트팬츠#트레이닝세트#트레이닝바지#바지#밴딩팬츠#조거팬츠#츄리닝#와이드","4.8","https://image.msscdn.net/images/goods_img/20210315/1844581/1844581_2_500.jpg","8679","6160"
"987079","#0199 Sensitive -B standard fit","FATALISM","#스탠다드핏#와이드#와이드핏#청바지#페이탈리즘스탠다드핏#연청데님#페이탈","4.7","https://image.msscdn.net/images/goods_img/20190319/987079/987079_5_500.jpg","8679","18680"
"1296309","라이트웨이트 와이드 히든 밴딩 슬랙스 [블랙]","MUSINSA STANDARD","#라이트웨이트컬렉션#셋업#퍼펙트슬랙스#허리밴딩#정장바지#여름슬랙스#와이드핏#라이트웨이트","4.8","https://image.msscdn.net/images/goods_img/20200207/1296309/1296309_3_500.jpg","8679","6466"
"2116448","쓰리 턱 세미 벌룬 슬랙스 [더스티 베이지]","MUSINSA STANDARD","#트라우저#셋업#와이드팬츠#정장팬츠#오버핏#기본슬랙스#벨트#정장바지#퍼펙트슬랙스","4.9","https://image.msscdn.net/images/goods_img/20210908/2116448/2116448_2_500.jpg","8679","4250"
"1224916","[CONA 9110] (기모옵션) (숏버전옵션) 시크릿밴드 롱 루즈 와이드 데님 (다크그레이)","MILLIONCOR","#데님#와이드#하이웨스트#스트레이트#루즈핏#기모#기모바지","4.8","https://image.msscdn.net/images/goods_img/20191114/1224916/1224916_2_500.jpg","8679","45365"
"1778394","와이드 조거 스웻 팬츠 (BLACK)","TOFFEE","#조거팬츠#스웨트팬츠#트레이닝팬츠#트레이닝바지#트레이닝복#스웻팬츠#트레이닝세트","4.8","https://image.msscdn.net/images/goods_img/20210204/1778394/1778394_1_500.jpg","8679","5412"
"2307747","원 턱 와이드 라운지 스웨트 팬츠 [블랙]","MUSINSA STANDARD","#츄리링#트레이닝복#이지웨어#라운지웨어#편한바지#스웨트컬렉션","4.8","https://image.msscdn.net/images/goods_img/20220114/2307747/2307747_2_500.jpg","8679","1690"
"620632","스탠다드 스웨트 팬츠 - 멜란지 그레이","MELANGE MASTER","#무지스웨트#세트업#스웨트#스웨트팬츠#스웻#스웻팬츠#스탠다드","4.7","https://image.msscdn.net/images/goods_img/20170831/620632/620632_6_500.jpg","8679","12714"
"1322219","레귤러 핏 데님 팬츠 [워시드 블랙]","MUSINSA STANDARD","#데님컬렉션#워싱진#청바지#캐주얼팬츠#레귤러진#기본데님#정호연PICK","4.8","https://image.msscdn.net/images/goods_img/20200225/1322219/1322219_2_500.jpg","8679","12513"
"1931536","테이퍼드 와이드 원턱 린넨 팬츠_Cream","LAFUDGESTORE","#테이퍼드#와이드팬츠#린넨팬츠#린넨#원턱팬츠#밴딩팬츠#와이드","4.8","https://image.msscdn.net/images/goods_img/20210430/1931536/1931536_3_500.jpg","8679","5239"
"404950","Classic Sweat Pants [Black]","XERO","#스웻#조거#트레이닝#팬츠#조거팬츠#이지웨어#스웻컬렉션","4.8","https://image.msscdn.net/images/goods_img/20160902/404950/404950_2_500.jpg","8679","17657"
"1778558","모어 와이드 데님 팬츠 (DEEP GREY)","TOFFEE","#와이드팬츠#청바지#데님팬츠#토피바지#토피와이드#와이드데님#와이드","4.8","https://image.msscdn.net/images/goods_img/20210204/1778558/1778558_1_500.jpg","8679","14955"
"967320","유니섹스 와이드 밴딩 슬랙스 P-7 black","PEPPERSEASONING","#남자와이드팬츠#밴딩와이드팬츠#슬랙스#여자와이드팬츠#와이드#와이드팬츠","4.7","https://image.msscdn.net/images/goods_img/20190227/967320/967320_1_500.jpg","8679","15895"
"1231420","테이퍼드 히든 밴딩 크롭 슬랙스 [크림]","MUSINSA STANDARD","#정장바지#퍼펙트슬랙스#정장팬츠#기본슬랙스#트라우저#허리밴딩#셋업#무탠픽업","4.8","https://image.msscdn.net/images/goods_img/20191120/1231420/1231420_3_500.jpg","8679","7467"
"2043056","[SET] 헤비웨이트 CGP 아치 로고 트레이닝 셋업_네이비","CODEGRAPHY","#트레이닝바지#후드티#맨투맨#조거팬츠#셋업#오버핏#로고","4.8","https://image.msscdn.net/images/goods_img/20210728/2043056/2043056_3_500.jpg","8679","26949"
"1348068","우먼즈 플루이드 슬림 스트레이트 슬랙스 [블랙]","MUSINSA STANDARD","#무신사스탠다드우먼즈#슬림핏#우먼즈슬랙스#정장바지#여성정장#여자수트#퍼펙트슬랙스","4.7","https://image.msscdn.net/images/goods_img/20200312/1348068/1348068_1_500.jpg","8679","5565"
"1885479","모어 와이드 데님 팬츠 (OFF WHITE)","TOFFEE","#와이드청바지#와이드데님#와이드팬츠#토피바지#토피와이드#와이드#오프화이트","4.8","https://image.msscdn.net/images/goods_img/20210407/1885479/1885479_1_500.jpg","8679","11687"
"1700691","워시드 퍼티그 벌룬 코튼 팬츠 MPT108 [BEIGE]","MINIMALPROJECT","#긴바지#와이드팬츠#벌룬팬츠#면바지#치노팬츠#퍼티그팬츠#코튼팬츠","4.8","https://image.msscdn.net/images/goods_img/20201125/1700691/1700691_6_500.jpg","8679","2938"
"1666444","와이드 데님 팬츠 [워시드 블랙]","MUSINSA STANDARD","#청바지#루즈핏#통청바지#와이드팬츠#데님컬렉션#캐주얼팬츠#무탠픽업#유아인착장상품","4.8","https://image.msscdn.net/images/goods_img/20201028/1666444/1666444_1_500.jpg","8679","8003"
"1780712","리얼 와이드 치노팬츠(카키)","TAKEASY","","4.8","https://image.msscdn.net/images/goods_img/20210205/1780712/1780712_1_500.jpg","8679","6816"
"1243133","와이드 데님 팬츠 (BLACK)","TOFFEE","#데님팬츠#블랙진#와이드데님#와이드청바지#와이드팬츠#청바지","4.8","https://image.msscdn.net/images/goods_img/20191204/1243133/1243133_3_500.jpg","8679","11738"
"1638610","51005 HISHITOMO COLLECTION LIGHT BLUE JEANS [RELAX STRAIGHT]","BRANDED","#청바지#팬츠#데님#데님팬츠#바지#프리미엄라인#스탠다드데님","4.9","https://image.msscdn.net/images/goods_img/20201007/1638610/1638610_1_500.jpg","8679","8109"
"890519","유스 와이드 카고팬츠 4종 카키 YHLP2159","JEMUT","#와이드팬츠#와이드핏#카고팬츠#코튼팬츠#팬츠","4.7","https://image.msscdn.net/images/goods_img/20181025/890519/890519_1_500.jpg","8679","9706"
"1324411","우먼즈 스웨트 팬츠 [미디엄 그레이]","MUSINSA STANDARD","#트레이닝복#조거팬츠#라운지웨어#이지웨어#스웨트컬렉션#무신사스탠다드우먼즈#우먼즈스웨컬렉션#홈웨어컬렉션#우먼즈스웨트컬렉션#무탠픽업","4.7","https://image.msscdn.net/images/goods_img/20200226/1324411/1324411_3_500.jpg","8679","10837"
"1311988","라이트웨이트 테이퍼드 히든 밴딩 10부 슬랙스 [블랙]","MUSINSA STANDARD","#라이트웨이트컬렉션#셋업#퍼펙트슬랙스#허리밴딩#정장바지#여름슬랙스#라이트웨이트","4.8","https://image.msscdn.net/images/goods_img/20200219/1311988/1311988_4_500.jpg","8679","3516"
"1466284","컴프레션 타이즈 [블랙]","MUSINSA STANDARD","#러닝#타이즈#트레이닝#피트니스#스포츠#레깅스#운동#무신사스탠다드퍼포먼스#무신사스탠다드스포츠#퍼포먼스","4.8","https://image.msscdn.net/images/goods_img/20200528/1466284/1466284_3_500.jpg","8679","3659"
"883004","아디브레이크 팬츠 - 블랙 / GN2807","ADIDAS","#버튼팬츠#스냅팬츠#아디다스우먼#아디브레이크#아디컬러#츄리닝#츄리닝바지","4.7","https://image.msscdn.net/images/goods_img/20181016/883004/883004_6_500.jpg","8679","53268"
"1246215","[테이퍼드핏]MILD BLUE CHIP","86ROAD","#데님#레직기#와이드#청바지#크롭페이퍼드#테이퍼드","4.7","https://image.msscdn.net/images/goods_img/20191206/1246215/1246215_5_500.jpg","8679","15138"
"2388931","컴포트 와이드 치노팬츠 베이지","ADLIELOS","#와이드핏#밴딩팬츠#캐주얼팬츠#팬츠#면바지#면팬츠#치노팬츠","4.8","https://image.msscdn.net/images/goods_img/20220228/2388931/2388931_3_500.jpg","8679","1911"
"1759490","[오리지널스]COMFY ONE TUCK SELVAGE DENIM PANTS_INDIGO","BESLOW","#셀비지#데님#청바지#데님팬츠#와이드데님#MDPICK#하의YOUAREIN","4.8","https://image.msscdn.net/images/goods_img/20210122/1759490/1759490_3_500.jpg","8679","17199"
"1830026","[2장 세트] 에센셜 조거 스웨트팬츠 (3color)","PIANER","#스웻팬츠#트레이닝#조거팬츠#조거#트레이닝바지#트레이닝복#스웨트팬츠","4.8","https://image.msscdn.net/images/goods_img/20210305/1830026/1830026_2_500.jpg","8679","6277"
"371617","[패키지] Ver.2 클래식밴딩반바지 9종 패키지 KHSP0427","DYCLEZ","#반바지#밴딩팬츠#쇼츠#쇼츠세트#숏팬츠#패키지#하프팬츠","4.8","https://image.msscdn.net/images/goods_img/20160616/371617/371617_4_500.jpg","8679","7864"
"1458942","세미 부츠컷 슬랙스 [블랙]","SIGNATURE","#롱#부츠컷#슬랙스#슬렉스#와이드#정장바지#10부","4.7","https://image.msscdn.net/images/goods_img/20200522/1458942/1458942_4_500.jpg","8679","12589"
"1672471","(기모) 유니섹스 세미 와이드 밴딩 슬랙스 겨울","WHOLOVESART","#와이드팬츠#와이드슬랙스#밴딩슬랙스#세미와이드#겨울슬랙스#기모슬랙스#기모바지","4.8","https://image.msscdn.net/images/goods_img/20201102/1672471/1672471_1_500.jpg","8679","37007"
"1342826","라이트웨이트 테이퍼드 치노 팬츠 [라이트 그레이]","MUSINSA STANDARD","#라이트웨이트컬렉션#레귤러핏#면바지#치노팬츠#캐주얼팬츠#면#테이퍼드#라이트웨이트#무탠픽업","4.7","https://image.msscdn.net/images/goods_img/20200310/1342826/1342826_3_500.jpg","8679","942"
"1323973","라이트웨이트 테이퍼드 히든 밴딩 크롭 슬랙스 [라이트 그레이]","MUSINSA STANDARD","#라이트웨이트컬렉션#셋업#퍼펙트슬랙스#허리밴딩#정장바지#여름슬랙스#라이트웨이트","4.8","https://image.msscdn.net/images/goods_img/20200226/1323973/1323973_5_500.jpg","8679","4026"
